Frequentie;Land;Zender;Locatie;Afstand tot Zundert
104.9;BEL;Radio Zoe Gold;Zoersel/Driesheide 34 (vlg-ant);25km
104.9;BEL;Radio Rivierenland;Willebroek/Westdijk (vlg-ant);52km
104.9;BEL;Radio Benelux;Paal/Deurnestraat 3 (vlg-lim);57km
104.9;BEL;RGR Classic Hits (Stadsradio Leuven);Leuven/Martelarenlaan 139 (vlg-vbr);65km
104.9;BEL;Radio VRW;Wellen/Dorpsstraat 25 (vlg-lim);84km
104.9;BEL;Radio Accent;Gent/Lieven Bauwens Gebouw (vlg-ovl);81km
105.0;BEL;Radio Valencia;Hoogstraten/Meer (vlg-ant);4km
105.0;BEL;Radio Kempenland;Herentals/Eilandje 1C (vlg-ant);35km
105.0;HOL;SOB FM;Goes/Cellnex toren (zee);54km
105.0;BEL;Radio Lorali;Zonhoven (vlg-lim);72km
105.0;BEL;10 FM;Tienen/Houtemstraat 115 (vlg-vbr);75km
105.0;HOL;Papendrecht FM;Papendrecht/Pelserflat (zho);41km
105.0;HOL;Studio Kaag en Braassem;Alphen aan den Rijn/Wederikstraat (zho);75km
105.1;BEL;TOPradio;Oud-Turnhout/Watertoren Pidpa (vlg-ant);26km
105.1;HOL;ZuidWest FM;Hoogerheide/Onze-Lieve-Vrouw-Hemelvaartkerk (nbr);24km
105.1;BEL;Radio Zuidrand;Hove/Leon Dumortierstraat (vlg-ant);37km
105.1;HOL;SLOG FM;Raamsdonksveer/Zalmweg (nbr);31km
105.1;BEL;Nostalgie;Limal/Château d'eau (wal-bra);85km
105.1;BEL;Radio Demerstad;Diest/Steineweg 89 (vlg-vbr);60km
105.1;BEL;Radio LRM;Kinrooi/Leuerbroek (vlg-lim);84km
105.1;BEL;Omroep Aalst;Aalst/Nieuwbeekstraat 35 (vlg-ovl);74km
105.1;HOL;LINQ FM;Spijkenisse/Akkerstede (zho);47km
105.2;BEL;Radio Antigoon;Brasschaat (vlg-ant);23km
105.2;BEL;Radio Mol;Mol/Emiel Becquaertlaan 2 (vlg-ant);41km
105.2;BEL;CLASSIC2;Keerbergen/Putsebaan (vlg-vbr);50km
105.2;BEL;TROS FM;Hamme (vlg-ovl);55km
105.2;BEL;Radio Aktief Gold;Eeklo/Leopoldlaan 88 (vlg-ovl);84km
105.2;BEL;Radio Victoria;Halle (vlg-vbr);88km
105.2;BEL;Trudo FM;Sint-Truiden/Schuurhovenveld (vlg-lim);81km
105.3;BEL;Radio Pallieter;Nijlen/Carolusberg 3 (vlg-ant);35km
105.3;BEL;TOPradio;Sint-Gillis-Waas/Stationsstraat (vlg-ovl);47km
105.3;BEL;Familie Radio Enjoy FM;Londerzeel/Steenhuffeldorp (vlg-vbr);59km
105.3;BEL;Urgent.fm;Gent/UG Complex Ledeganck (vlg-ovl);81km
